Id,Name,Link,ConformanceUnits
1003,ShearerLoaderDrumType,"https://reference.opcfoundation.org/Mining/Extraction/ShearerLoader/v100/docs/7.2.2","Shearer Drum Functional Variables;"
1006,ShearerLoaderType,"https://reference.opcfoundation.org/Mining/Extraction/ShearerLoader/v100/docs/7.1.2","Shearer Functional Variables;Shearer Methods;Shearer Components;"
3002,ShearerDirectionEnum,"https://reference.opcfoundation.org/Mining/Extraction/ShearerLoader/v100/docs/8.1",""
3004,ShearerDrumMountingPositionEnum,"https://reference.opcfoundation.org/Mining/Extraction/ShearerLoader/v100/docs/8.2",""
5001,http://opcfoundation.org/UA/Mining/Extraction/ShearerLoader/,"https://reference.opcfoundation.org/Mining/Extraction/ShearerLoader/v100/docs/10.1",""
7001,SetFloorOffset,"https://reference.opcfoundation.org/Mining/Extraction/ShearerLoader/v100/docs/7.1.3",""
7003,SetRoofOffset,"https://reference.opcfoundation.org/Mining/Extraction/ShearerLoader/v100/docs/7.1.4",""
